"dispatch_date","crime_group","frequency"
"2024-04-28","Other_Crimes","52"
"2024-04-28","Public_Order_Crimes","7"
"2024-04-28","Drug_and_Vice_Crimes","1"
"2024-04-29","Property_Crimes","242"
"2024-04-29","Violent_Crimes","139"
"2024-04-29","Other_Crimes","53"
"2024-04-29","Drug_and_Vice_Crimes","7"
"2024-04-29","Public_Order_Crimes","3"
"2024-04-30","Property_Crimes","249"
"2024-04-30","Violent_Crimes","138"
"2024-04-30","Other_Crimes","78"
"2024-04-30","Drug_and_Vice_Crimes","19"
"2024-04-30","Public_Order_Crimes","7"
"2024-05-01","Property_Crimes","236"
"2024-05-01","Violent_Crimes","118"
"2024-05-01","Other_Crimes","97"
"2024-05-01","Drug_and_Vice_Crimes","19"
"2024-05-01","Public_Order_Crimes","1"
"2024-05-02","Property_Crimes","205"
"2024-05-02","Violent_Crimes","143"
"2024-05-02","Other_Crimes","79"
"2024-05-02","Drug_and_Vice_Crimes","20"
"2024-05-02","Public_Order_Crimes","3"
"2024-05-03","Property_Crimes","220"
"2024-05-03","Violent_Crimes","142"
"2024-05-03","Other_Crimes","68"
"2024-05-03","Drug_and_Vice_Crimes","11"
"2024-05-03","Public_Order_Crimes","2"
"2024-05-04","Property_Crimes","201"
"2024-05-04","Violent_Crimes","99"
"2024-05-04","Other_Crimes","33"
"2024-05-04","Drug_and_Vice_Crimes","13"
"2024-05-04","Public_Order_Crimes","6"
"2024-05-05","Property_Crimes","183"
"2024-05-05","Violent_Crimes","90"
"2024-05-05","Other_Crimes","38"
"2024-05-05","Drug_and_Vice_Crimes","5"
"2024-05-05","Public_Order_Crimes","4"
"2024-05-06","Property_Crimes","259"
"2024-05-06","Violent_Crimes","132"
"2024-05-06","Other_Crimes","68"
"2024-05-06","Drug_and_Vice_Crimes","14"
"2024-05-06","Public_Order_Crimes","8"
"2024-05-07","Property_Crimes","274"
"2024-05-07","Violent_Crimes","138"
"2024-05-07","Other_Crimes","89"
"2024-05-07","Drug_and_Vice_Crimes","12"
"2024-05-07","Public_Order_Crimes","3"
"2024-05-08","Property_Crimes","249"
"2024-05-08","Violent_Crimes","114"
"2024-05-08","Other_Crimes","75"
"2024-05-08","Drug_and_Vice_Crimes","10"
"2024-05-08","Public_Order_Crimes","2"
"2024-05-09","Property_Crimes","262"
"2024-05-09","Violent_Crimes","131"
"2024-05-09","Other_Crimes","76"
"2024-05-09","Drug_and_Vice_Crimes","19"
"2024-05-10","Property_Crimes","221"
"2024-05-10","Violent_Crimes","116"
"2024-05-10","Other_Crimes","64"
"2024-05-10","Drug_and_Vice_Crimes","7"
"2024-05-10","Public_Order_Crimes","1"
"2024-05-11","Property_Crimes","198"
"2024-05-11","Violent_Crimes","92"
"2024-05-11","Other_Crimes","83"
